AREA REPORT

GERACAO
AREA;GERACAO;DEMANDA;BARRAS
251;1990.0;151.0;60
204;867.0;0.0;103
255;751.6430000000001;1068.2999999999997;109
352;2833.2;161.0;215
351;7231.299999999998;1.6;165
472;200.0;0.0;123
513;1412.0;0.0;161
208;1960.4789999999994;2377.199999999999;336
202;0.0;0.0;79
254;515.7400000000001;4105.500000000002;314
512;350.0;0.0;22
511;1023.0;0.0;46
302;0.0;0.0;47
252;400.0;0.0;56
201;0.0;0.24;39
240;5800.0;25.0;3
101;3092.0;20.1;79
241;4771.0;2269.0;4
256;148.4904;940.1000000000001;106
205;552.0;0.0;112
359;397.2968000000001;828.5;66
207;532.9131999999996;4383.499999999999;449
258;26.799999999999997;408.1;42
259;44.8862;251.1;49
304;342.24559999999997;1193.1000000000001;55
214;0.0;0.0;1
358;1437.7340000000004;1256.5999999999997;92
563;0.0;0.0;12
562;0.0;0.0;30
564;404.39200000000005;1526.2;176
353;655.6;0.0;126
561;0.0;0.0;14
517;399.21380000000005;423.00000000000006;55
518;111.24170000000001;283.7;20
253;0.0;0.0;1
257;156.04910000000004;269.79999999999995;80
213;53.900000000000006;467.5;15
363;477.8445999999999;249.09999999999994;24
355;175.72609999999995;1330.7;67
354;200.062;2079.0000000000005;102
356;1123.9399999999996;1320.8999999999999;115
357;221.58950000000004;527.5;59
360;165.632;618.5999999999999;34
212;94.45200000000001;7043.599999999999;68
209;1577.9730000000002;1555.2000000000003;320
203;5283.0;0.0;181
211;181.29099999999997;1085.0;161
206;105.89999999999999;775.5999999999998;186
210;786.4690000000002;507.50000000000006;146
402;0.0;0.0;68
216;0.0;1294.5;52
515;348.4723000000001;1605.9000000000003;99
519;0.1;321.0;26
102;951.0;26.2;251
103;1521.7946000000004;6685.4000000000015;317
51;1369.0;14.6;46
53;1321.7390999999998;4529.700000000001;324
52;1497.0;85.5;203
2;706.0000000000001;44.4;627
403;732.5810000000001;1070.1000000000001;98
3;1775.3324000000002;4837.100000000001;502
1;0.0074;0.0;3
401;0.0;0.0;14
520;294.7;34.9;15
404;308.0;108.0;9
5;8.2;372.5;43
4;128.56900000000002;307.70000000000005;41
362;0.0;1426.7;31
262;4.7;0.0;1
215;787.1336999999995;4262.7;112
104;0.0;663.1999999999998;33
306;87.1926;650.3000000000001;84
305;71.5254;403.80000000000007;55
303;0.0;0.0;12
54;0.0;55.0;1
516;20.6;67.5;2
301;0.0;0.0;11
307;38.9;0.0;6
361;69.0783;277.70000000000005;56
477;1087.1609;1558.1999999999998;315
473;244.07229999999998;298.79999999999995;68
476;24.376;22.0;11
475;53.699999999999996;78.3;11
478;81.1101;175.40000000000003;32
514;18.6;73.7;6
479;118.19999999999999;0.0;18
471;980.0;0.0;38
474;59.366;79.60000000000001;11
480;0.0;46.0;4
481;13.138;24.4;3
711;1116.0000000000002;0.0;75
741;3730.599999999999;0.0;303
712;596.8000000000001;0.0;170
762;2030.6000000000001;0.0;222
742;2592.2000000000007;0.0;281
772;1516.9000000000005;0.0;152
702;3284.300000000001;0.0;257
703;831.7158999999998;1185.6;79
721;1210.0;0.0;40
743;855.653;1519.5000000000002;82
763;687.3329000000001;2812.1000000000004;46
722;1006.6999999999998;0.0;143
723;478.61279999999994;2833.3000000000006;68
864;211.99999999999997;1280.5;80
771;1992.7000000000003;0.0;159
724;0.0;491.4;15
761;0.0;0.0;40
773;339.06899999999996;916.9000000000001;32
222;0.0;0.0;1
764;196.5;217.5;8
866;190.0;394.40000000000003;10
865;65.64;234.20000000000002;6
861;1582.0;0.0;72
862;0.0;0.0;8
863;0.0;0.0;25
713;418.5969999999999;3299.2;65
701;2016.5;0.0;209
715;4.0;664.6;17
716;73.0;118.0;5
714;45.5;108.5;11
844;0.0;0.0;25
847;117.6;421.09999999999997;10
841;2499.0;0.0;86
845;169.89999999999998;403.6;36
842;0.0;0.0;45
843;0.0;0.0;48
846;234.85999999999999;1238.1999999999998;14
848;25.7;1881.4;18
452;200.0;0.0;73
460;35.76;71.3;2
459;41.248999999999995;39.7;7
458;69.4091;294.2;5
454;0.0;9.8;1
457;14.545000000000002;61.6;3
456;24.402;68.2;2
455;33.3;342.90000000000003;8
453;1.9;38.9;2
431;0.0;0.0;24
883;261.86620000000005;655.5;49
432;31.7;256.0;7
433;0.8;10.8;1
451;1401.8000000000002;0.0;14
881;0.0;0.0;35
882;0.0;0.0;10
581;831.0;0.0;2
802;482.0;0.0;48
217;330.0;215.1;2
482;4.0;0.0;1
7;-67.4;0.0;1
744;0.0;68.5;4
704;0.5;26.2;2
822;106.60000000000002;321.59999999999997;20
821;474.0;0.0;25
806;0.0;67.6;3
801;0.0;0.0;17
805;35.7;582.1;9
804;236.6;455.8999999999999;31
803;162.6;578.7;66
105;266.8;11.0;4
261;438.0;178.0;4
260;0.0;123.0;7
6;0.0;90.0;2
405;570.6;321.6;6

GERACAO POR TIPO
AREA;UNE;UHE;UTE;EOL;UFV;PCH;BIO;OTHER;TOTAL
251;1990.0;0;0.0;0;0;0;0;0;1990.0
204;0;867.0;0;0;0;0;0;0;867.0
255;0;528.0;150.0;0;0;0.0;0;73.643;751.6430000000001
352;0;2326.0;0;0;507.20000000000005;0;0;0;2833.2
351;0;6515.0;0;0;716.3;0;0;0;7231.299999999998
472;0;200.0;0;0;0;0;0.0;0;200.0
513;0;1412.0;0.0;0;0;0;0;0;1412.0
208;0;563.0;0;0;0;4.1;1015.4000000000001;377.9790000000001;1960.4789999999994
202;0;0;0;0;0;0;0;0;0
254;0;0;327.0;0;0;0;0;188.7400000000001;515.7400000000001
512;0;350.0;0;0;0;0;0;0;350.0
