CASO;pATIVA;pREATIVA;dATIVA;dREATIVA
1;100160.3;-8092.6;96298.8;23694.1
2;99565.1;-8994.0;95757.7;23548.3
3;99547.5;-9312.8;95781.8;23552.1
4;99457.5;-9102.1;95652.4;23517.6
5;99922.2;-8662.0;96112.7;23652.3
6;99103.3;-9774.4;95351.3;23445.7
7;100211.1;-7940.4;96334.4;23700.7
8;99505.9;-9228.6;95723.7;23539.2
9;99796.1;-8737.2;95981.3;23613.9
10;99654.0;-8957.7;95851.7;23571.0
11;100124.4;-8071.2;96256.6;23688.8
12;99191.5;-9480.8;95409.7;23459.8
13;99648.6;-8855.8;95831.6;23564.4
14;99607.2;-9053.2;95812.8;23563.1
15;100035.3;-8210.4;96176.3;23668.0
16;99437.4;-9244.7;95649.0;23516.1
17;99683.1;-8812.4;95864.7;23574.6
18;99507.5;-9026.4;95698.1;23531.7
19;99747.3;-8789.9;95933.6;23602.1
20;99892.8;-8464.1;96051.9;23635.4
21;99431.1;-9296.5;95649.0;23516.0
22;100030.1;-8269.4;96178.4;23668.2
23;99971.8;-8324.7;96121.1;23655.1
24;99845.3;-8651.6;96024.8;23628.8
25;99964.4;-8384.1;96121.1;23655.1
26;99549.3;-9030.5;95744.7;23543.8
27;99680.0;-8872.3;95869.4;23575.6
28;99464.0;-9291.1;95685.3;23529.5
29;99639.4;-9043.8;95847.4;23570.6
30;99867.0;-8521.5;96031.2;23631.3
31;99546.4;-9038.9;95742.6;23542.6
32;99633.3;-8823.3;95810.6;23562.8
33;99497.7;-9429.2;95742.7;23542.7
34;99505.9;-9071.1;95702.5;23534.4
35;99557.6;-8970.9;95745.9;23544.1
36;99717.5;-8700.0;95887.9;23579.9
37;99446.7;-9135.5;95644.8;23515.7
38;99782.2;-8740.0;95966.2;23610.1
39;100183.9;-8014.1;96314.3;23697.9
40;99936.6;-8360.1;96087.0;23646.8
41;99674.7;-8843.9;95859.4;23573.2
42;99505.8;-9032.4;95696.9;23531.5
43;99493.3;-9348.8;95726.8;23539.5
44;100199.4;-7943.2;96321.7;23698.6
45;99770.5;-8614.6;95935.7;23602.3
46;99557.3;-9027.8;95753.3;23546.8
47;99789.9;-8592.2;95954.6;23607.2
48;100295.7;-7819.0;96414.1;23735.0
49;99756.3;-8781.6;95942.7;23604.7
50;99897.7;-8455.9;96056.3;23637.1
51;99817.4;-8539.5;95978.1;23613.5
52;99633.3;-8918.6;95823.2;23563.8
53;99431.3;-9231.1;95640.4;23514.1
54;99640.6;-8881.7;95826.3;23563.8
55;99679.8;-8777.4;95856.2;23572.8
56;99899.4;-8409.7;96051.9;23635.5
57;99942.8;-8453.2;96106.3;23650.8
58;99986.7;-8287.2;96132.5;23655.7
59;99810.5;-8580.5;95975.9;23613.2
60;99925.0;-8670.0;96116.9;23653.8
61;99525.3;-9085.4;95725.8;23539.3
62;100059.3;-8221.9;96204.8;23677.4
63;99862.1;-8523.1;96025.9;23629.9
64;99662.2;-8811.0;95841.0;23567.9
65;99815.6;-8869.1;96021.6;23625.4
66;99700.8;-8774.1;95879.0;23577.6
67;100018.3;-8349.2;96176.2;23667.9
68;100112.4;-8304.2;96274.4;23690.0
69;100317.5;-7748.9;96429.3;23740.7
70;99366.4;-9235.4;95569.9;23499.8
71;99339.4;-9390.5;95561.2;23497.8
72;99601.3;-8884.4;95783.2;23554.6
73;99770.4;-8697.7;95947.2;23606.6
74;99963.5;-8353.7;96115.8;23652.6
75;99793.4;-8751.6;95980.3;23613.8
76;99203.2;-9472.7;95421.2;23461.6
77;99601.5;-9299.8;95840.9;23567.8
78;99948.6;-8389.0;96104.2;23650.6
79;99800.9;-8571.0;95964.1;23610.0
80;99893.3;-8739.2;96091.3;23648.2
81;99670.3;-8840.4;95854.0;23571.5
82;99674.9;-8825.6;95857.3;23573.0
83;99789.7;-8586.0;95953.5;23607.1
84;99850.2;-8489.0;96007.5;23618.8
85;99779.6;-8686.1;95955.7;23607.4
86;99745.4;-8869.8;95942.6;23604.7
87;99560.6;-8945.9;95745.9;23544.1
88;99837.6;-8506.6;95996.1;23617.1
89;99764.1;-8717.5;95942.7;23604.8
90;100034.1;-8219.4;96176.2;23667.9
91;100051.5;-8192.4;96192.1;23674.3
92;99785.0;-8601.6;95950.5;23607.1
93;99632.9;-8867.0;95815.9;23563.3
94;99569.0;-8930.3;95753.3;23546.8
95;99808.2;-8826.5;96007.7;23621.1
96;99771.5;-8615.7;95937.1;23602.8
97;99649.8;-8827.8;95829.3;23564.0
98;99758.1;-8701.2;95933.6;23602.1
99;99571.2;-8927.8;95755.6;23548.2
100;99868.3;-8828.3;96075.4;23642.8
101;99617.9;-8856.8;95797.9;23558.8
102;100056.4;-8183.8;96196.5;23675.8
103;99820.0;-8720.2;96005.5;23618.7
104;99897.1;-8429.0;96052.0;23635.6
105;99444.2;-9195.9;95650.1;23516.2
106;99784.7;-8579.8;95947.3;23606.7
107;99939.1;-8338.8;96087.0;23646.7
108;99485.4;-9075.6;95680.0;23527.2
109;99653.1;-8932.3;95847.4;23570.6
110;99750.6;-8753.9;95932.5;23601.9
111;99362.7;-9313.5;95576.2;23502.3
112;99804.5;-8661.0;95980.3;23613.8
113;99936.7;-8503.2;96106.4;23650.9
114;99493.0;-9155.2;95699.3;23533.1
115;99818.0;-8605.8;95987.7;23616.5
116;99382.3;-9308.6;95597.1;23506.6
117;99695.2;-8866.9;95885.5;23579.3
118;99286.7;-9500.9;95517.9;23491.2
119;100037.4;-8184.7;96175.1;23667.7
120;99814.2;-8773.0;96006.5;23618.8
121;99691.4;-8906.4;95886.7;23579.7
122;99528.7;-9010.4;95719.5;23536.9
123;100062.1;-8229.3;96209.1;23679.9
124;100263.1;-7847.4;96381.4;23725.3
125;99246.0;-9407.8;95460.5;23477.1
126;100063.8;-8154.8;96200.6;23676.1
127;100175.3;-7985.0;96300.8;23695.2
128;99799.7;-8724.5;95983.6;23615.3
129;99422.3;-9155.9;95620.6;23510.9
130;99921.7;-8658.3;96111.6;23652.3
131;99680.4;-8818.8;95862.6;23574.4
132;99560.7;-9038.5;95758.8;23548.5
133;99392.6;-9369.1;95616.2;23509.3
134;99882.8;-8443.9;96038.4;23633.7
135;99939.5;-8406.9;96096.7;23649.8
136;99569.9;-8930.6;95754.5;23548.1
137;99838.9;-8731.8;96029.0;23631.1
138;99443.5;-9130.0;95640.4;23514.1
139;99948.2;-8344.3;96097.8;23650.0
140;99761.3;-8675.6;95933.7;23602.2
141;99653.9;-9021.1;95860.5;23573.3
142;99691.5;-8808.9;95873.6;23577.0
143;99930.3;-8604.4;96113.7;23652.4
144;99890.9;-8752.7;96090.1;23648.0
145;99878.5;-8427.1;96031.1;23631.3
146;99779.2;-8600.6;95943.9;23606.1
147;99773.5;-8606.5;95938.1;23602.8
148;99891.1;-8509.8;96056.3;23637.2
149;99800.9;-8570.9;95964.2;23610.1
150;99916.6;-8387.2;96068.2;23641.5
151;99660.6;-8801.4;95837.8;23566.7
152;99082.1;-9707.2;95318.4;23433.8
153;100005.9;-8311.7;96157.0;23662.0
154;100267.9;-8149.9;96429.3;23740.8
155;99853.8;-8490.7;96012.0;23622.4
156;99699.0;-8747.6;95873.7;23577.0
157;99695.4;-8737.1;95868.2;23575.3
158;99688.5;-8816.7;95871.4;23576.7
159;99765.7;-8621.1;95931.3;23601.6
160;99434.8;-9233.6;95644.7;23515.6
161;99570.4;-9131.4;95782.0;23553.3
162;99481.3;-9070.9;95674.4;23523.2
