CASO;pATIVA;pREATIVA;dATIVA;dREATIVA
1;59135.5;-20240.1;57319.6;12289.9
2;56249.8;-22888.8;54561.3;11756.0
4;55722.7;-23133.8;53995.9;11644.2
7;59322.3;-19910.7;57466.6;12319.0
11;58955.8;-20265.9;57123.1;12246.9
13;56633.7;-22499.7;54929.3;11825.0
15;58520.2;-20660.8;56713.4;12173.5
16;55623.1;-23595.0;53966.8;11639.8
17;56813.2;-22320.9;55103.5;11859.4
18;55956.1;-23000.6;54240.5;11690.8
19;57067.5;-22122.1;55367.5;11913.0
20;57793.4;-21406.8;56039.7;12042.8
22;58515.5;-20774.0;56728.4;12178.9
23;58213.7;-20986.1;56431.3;12114.6
25;58193.3;-21092.8;56430.1;12114.4
26;56159.1;-23005.2;54478.9;11737.3
27;56866.9;-22334.3;55172.8;11869.1
30;57713.7;-21500.4;55968.7;12025.8
31;56151.0;-23018.4;54472.2;11735.3
34;55969.0;-23160.8;54283.7;11701.9
35;56192.1;-22886.0;54493.6;11740.6
36;57063.2;-21803.5;55302.3;11899.7
37;55637.9;-23455.3;53949.8;11634.8
38;57320.7;-21891.6;55612.1;11959.0
39;59195.0;-20119.5;57361.5;12296.6
40;58010.8;-21126.3;56231.7;12078.6
41;56777.4;-22395.1;55078.5;11855.1
42;55927.8;-23102.2;54225.3;11689.6
44;59296.6;-19676.2;57402.9;12302.3
45;57149.6;-21688.0;55381.2;11915.9
46;56211.8;-22960.3;54533.0;11749.7
47;57307.9;-21727.6;55560.4;11948.1
49;57175.0;-22021.9;55472.2;11932.0
50;57843.5;-21354.9;56085.2;12048.5
51;57458.4;-21523.1;55692.2;11975.6
52;56580.8;-22611.9;54891.1;11818.7
53;55578.3;-23631.9;53917.1;11628.6
54;56597.6;-22551.9;54897.7;11819.1
55;56774.8;-22296.9;55055.0;11851.1
56;57836.8;-21129.7;56043.4;12045.2
57;58114.5;-21201.2;56363.7;12099.6
58;58258.5;-20902.6;56466.7;12119.8
59;57417.9;-21702.3;55676.3;11972.0
61;56061.5;-23121.8;54389.5;11722.8
62;58667.6;-20643.1;56871.7;12200.8
63;57695.9;-21500.7;55948.4;12022.8
