CASO;pATIVA;pREATIVA;dATIVA;dREATIVA
1;20029.6;-3567.3;19246.1;-402.6
2;15074.4;-1944.1;14271.5;-672.7
3;15251.3;-2188.8;14455.7;-658.7
4;14103.9;-93.5;13243.6;-725.6
5;18303.3;-4119.9;17553.5;-492.6
7;20303.0;-3385.3;19510.3;-393.6
8;14755.9;-1427.7;13937.2;-693.0
9;17092.2;-3842.8;16341.4;-559.7
10;15850.7;-2914.3;15076.3;-624.7
11;19655.2;-3783.9;18882.7;-421.6
12;12163.1;7876.2;11049.6;-845.8
13;15690.7;-2739.1;14911.1;-634.7
14;15561.8;-2597.6;14778.0;-646.7
15;18908.8;-4058.9;18152.1;-463.6
16;14047.0;40.4;13182.5;-729.6
17;16018.3;-3080.4;15248.4;-615.7
18;14508.8;-968.0;13676.0;-703.2
19;16485.1;-3481.9;15725.9;-594.7
20;17678.0;-4033.7;16930.0;-526.6
21;14045.3;47.4;13180.5;-728.6
22;18937.0;-4054.1;18180.1;-461.6
23;18389.9;-4125.4;17639.6;-491.6
24;17492.9;-4004.6;16744.8;-543.6
25;18387.9;-4124.6;17637.6;-490.6
26;14920.7;-1701.0;14110.4;-680.8
27;16127.5;-3186.5;15360.5;-612.7
28;14387.3;-721.8;13546.9;-709.3
29;15813.7;-2885.2;15038.2;-634.7
30;17556.9;-4006.3;16808.8;-534.6
31;14903.4;-1675.0;14092.4;-681.9
32;15532.5;-2560.4;14748.0;-643.7
33;14916.8;-1693.5;14106.4;-679.8
34;14579.6;-1102.9;13751.1;-698.1
35;14943.8;-1731.4;14134.4;-676.8
36;16364.3;-3377.3;15602.7;-590.7
37;14011.6;122.9;13144.5;-732.6
38;16908.0;-3747.8;16155.2;-568.7
39;20112.3;-3514.6;19326.1;-398.6
40;18031.5;-4107.4;17283.3;-507.6
41;15974.5;-3038.8;15203.4;-619.7
42;14487.2;-922.6;13653.0;-703.2
43;14784.5;-1473.4;13967.3;-689.0
44;20186.0;-3459.7;19397.2;-392.6
45;16504.8;-3499.7;15745.9;-596.7
46;15017.4;-1845.8;14211.5;-672.8
47;16806.3;-3687.4;16052.2;-573.7
48;21133.4;-2603.2;20304.0;-345.5
49;16650.4;-3596.0;15894.0;-585.7
50;17753.0;-4051.7;17005.0;-522.6
51;17048.6;-3820.0;16297.4;-560.7
52;15632.1;-2681.4;14851.1;-639.7
53;13955.2;268.0;13083.5;-733.7
54;15637.0;-2682.4;14856.1;-637.7
55;15941.2;-3011.5;15169.3;-623.7
56;17685.8;-4039.0;16938.0;-527.6
57;18247.7;-4125.4;17498.5;-498.6
58;18449.6;-4114.5;17698.7;-482.6
59;17015.8;-3803.8;16264.3;-561.7
60;18353.5;-4123.2;17603.6;-490.6
61;14769.4;-1449.7;13951.2;-693.0
62;19180.8;-3982.5;18419.3;-447.6
63;17522.8;-4008.5;16774.8;-537.6
64;15746.7;-2808.9;14969.2;-634.7
65;17467.1;-3994.8;16718.8;-543.6
66;16225.3;-3274.6;15460.6;-607.7
67;18902.7;-4058.3;18146.1;-462.6
68;19785.9;-3715.4;19009.9;-414.6
69;21334.0;-2356.9;20493.2;-336.5
70;13446.6;1773.6;12525.9;-764.2
