numero;nome;tipo;tensao;angulo;potencia_ativa;potencia_reativa;demanda_ativa;demanda_reativa;shunt_barra;area
12;LCBARRET-4GR; 1;1.0;-24.5;308.8;-179.9;0.0;0.0;0.0;1
16;FURNAS---5GR; 1;1.0;-26.6;823.4;-72.4;0.0;0.0;0.0;1
18;ITUMBIAR-6GR; 2;1.02;-24.0;1055.0;-344.7;0.0;0.0;0.0;1
20;MARIMBON-5GR; 1;1.01;-22.5;926.3;-271.1;0.0;0.0;0.0;1
22;M.MOR.A--3GR; 1;1.0;-20.0;154.4;-15.3;0.0;0.0;0.0;1
35;CORUMBA--2GR; 1;1.0;-27.2;205.9;-38.2;0.0;0.0;0.0;1
48;IBIUNA---4CS; 1;1.0;-44.2;0.0;-355.2;0.0;0.0;0.0;1
86;IBIUNA---345; 0;1.025;-44.2;0.0;0.0;68.0;1.2;0.0;1
100;MARIMBON-500; 0;1.05;-28.9;0.0;0.0;0.0;0.0;0.0;1
101;ARARAQUA-500; 0;1.055;-37.1;0.0;0.0;0.0;0.0;-222.5;1
102;POCOS----500; 0;1.04;-44.3;0.0;0.0;0.0;0.0;-108.1;1
103;CAMPINAS-500; 0;1.053;-44.6;0.0;0.0;0.0;0.0;0.0;1
104;C.PAULIS-500; 0;1.035;-53.7;0.0;0.0;937.3;242.1;0.0;1
106;ADRIANO--500; 0;1.022;-54.6;0.0;0.0;0.0;0.0;-104.4;1
120;P.CALDAS-345; 0;1.026;-42.4;0.0;0.0;185.4;92.7;0.0;1
122;IBIUNA---500; 0;1.052;-43.1;0.0;0.0;206.0;39.1;0.0;1
123;CAMPINAS-345; 0;1.016;-47.6;0.0;0.0;463.5;180.3;0.0;1
126;GUARULHOS345; 0;1.027;-44.9;0.0;0.0;298.7;97.9;0.0;1
131;M.MORAES-345; 0;1.023;-27.7;0.0;0.0;0.0;0.0;0.0;1
134;LBARRETO-345; 0;1.024;-26.8;0.0;0.0;0.0;0.0;0.0;1
136;FURNAS---345; 0;1.019;-33.8;0.0;0.0;55.6;23.7;0.0;1
138;ITUTINGA-345; 0;1.014;-45.5;0.0;0.0;74.2;35.0;0.0;1
140;ADRIANO--345; 0;0.994;-55.8;0.0;0.0;721.0;257.5;0.0;1
210;ITUMBIARA500; 0;1.045;-27.8;0.0;0.0;0.0;0.0;0.0;1
213;MARIMBON-345; 0;1.045;-29.2;0.0;0.0;95.8;40.2;0.0;1
216;PCOLOMBIA345; 0;1.045;-28.2;0.0;0.0;54.6;25.7;0.0;1
217;ITUMBIARA345; 0;1.044;-32.7;0.0;0.0;374.9;59.7;0.0;1
218;BANDEIRA-345; 0;1.015;-40.8;0.0;0.0;618.0;206.0;0.0;1
219;B.SUL----345; 0;1.019;-39.6;0.0;0.0;0.0;0.0;0.0;1
220;CORUMBA--345; 0;1.047;-32.4;0.0;0.0;0.0;0.0;0.0;1
225;ITUMBIARA230; 0;1.0;-35.1;0.0;0.0;0.0;0.0;0.0;1
228;B.SUL----230; 0;1.006;-41.4;0.0;0.0;88.6;35.0;0.0;1
233;SAMAMBAI-500; 0;1.03;-36.8;0.0;0.0;0.0;0.0;0.0;1
