numero;nome;tipo;tensao;angulo;potencia_ativa;potencia_reativa;demanda_ativa;demanda_reativa;shunt_barra;area
1;Barra01;1;1.045;-22.4;319.5;327.1;0.0;0.0;0.0;1
2;Barra02;1;0.98;-11.7;696.3;228.9;0.0;0.0;0.0;2
3;Barra03;1;0.983;-8.3;830.4;250.1;0.0;0.0;0.0;3
4;Barra04;1;0.997;-9.1;807.3;112.0;0.0;0.0;0.0;4
5;Barra05;1;1.011;-12.2;645.0;200.6;0.0;0.0;0.0;5
6;Barra06;1;1.05;-5.8;894.2;416.6;0.0;0.0;0.0;6
7;Barra07;1;1.063;-3.0;715.4;397.7;0.0;0.0;0.0;7
8;Barra08;1;1.03;-14.6;689.7;145.4;0.0;0.0;0.0;8
9;Barra09;1;1.025;-7.7;1022.3;191.7;0.0;0.0;0.0;9
10;Barra10;1;1.01;-22.2;639.0;155.7;0.0;0.0;0.0;10
11;Barra11;1;1.0;-19.0;1277.5;258.8;0.0;0.0;0.0;11
12;Barra12;1;1.015;-40.7;1724.6;697.2;0.0;0.0;0.0;12
13;Barra13;1;1.011;-49.2;4588.1;1742.4;0.0;0.0;0.0;13
14;Barra14;1;1.0;10.3;2280.7;351.0;0.0;0.0;0.0;14
15;Barra15;1;1.0;-2.4;1277.5;201.4;0.0;0.0;0.0;15
16;Barra16;2;1.0;-0.0;4627.4;823.6;0.0;0.0;0.0;16
17;Barra17;0;0.926;-58.9;0.0;0.0;7740.0;387.0;0.0;17
18;Barra18;0;0.985;-8.1;0.0;0.0;3186.3;158.7;0.0;18
19;Barra19;0;0.917;-16.8;0.0;0.0;0.0;0.0;0.0;19
20;Barra20;0;0.967;-19.0;0.0;0.0;877.2;132.9;0.0;20
21;Barra21;0;0.929;-20.2;0.0;0.0;353.5;148.4;0.0;21
22;Barra22;0;0.974;-13.2;0.0;0.0;0.0;0.0;0.0;22
23;Barra23;0;0.975;-13.7;0.0;0.0;319.9;109.6;0.0;23
24;Barra24;0;0.929;-24.1;0.0;0.0;398.6;-118.7;0.0;24
25;Barra25;0;0.98;-23.9;0.0;0.0;289.0;60.6;0.0;25
26;Barra26;0;0.958;-25.4;0.0;0.0;179.3;21.9;0.0;26
27;Barra27;0;0.934;-27.9;0.0;0.0;362.5;98.0;0.0;27
28;Barra28;0;0.967;-20.9;0.0;0.0;265.7;36.1;0.0;28
29;Barra29;0;0.975;-17.0;0.0;0.0;366.4;34.8;0.0;29
30;Barra30;0;0.932;-36.0;0.0;0.0;0.0;0.0;0.0;30
31;Barra31;0;0.945;-32.6;0.0;0.0;0.0;0.0;0.0;31
32;Barra32;0;0.943;-29.6;0.0;0.0;0.0;0.0;0.0;32
33;Barra33;0;0.937;-35.6;0.0;0.0;144.5;0.0;0.0;33
34;Barra34;0;0.941;-44.2;0.0;0.0;0.0;0.0;0.0;34
35;Barra35;0;0.993;-45.2;0.0;0.0;0.0;0.0;0.0;35
36;Barra36;0;0.932;-48.9;0.0;0.0;131.6;-25.2;0.0;36
37;Barra37;0;0.922;-26.5;0.0;0.0;0.0;0.0;0.0;37
38;Barra38;0;0.945;-33.9;0.0;0.0;0.0;0.0;0.0;38
39;Barra39;0;0.928;-62.6;0.0;0.0;344.4;16.3;0.0;39
40;Barra40;0;0.948;-26.0;0.0;0.0;84.7;30.4;0.0;40
41;Barra41;0;0.995;8.3;0.0;0.0;1290.0;322.5;0.0;41
42;Barra42;0;0.997;-3.6;0.0;0.0;1483.5;322.5;0.0;42
43;Barra43;0;0.928;-60.9;0.0;0.0;0.0;0.0;0.0;43
44;Barra44;0;0.928;-61.0;0.0;0.0;345.2;6.2;0.0;44
45;Barra45;0;0.978;-47.4;0.0;0.0;268.3;27.1;0.0;45
46;Barra46;0;0.932;-35.2;0.0;0.0;194.4;36.8;0.0;46
47;Barra47;0;0.946;-35.5;0.0;0.0;262.0;42.0;0.0;47
48;Barra48;0;0.949;-33.6;0.0;0.0;311.1;2.8;0.0;48
49;Barra49;0;0.926;-32.9;0.0;0.0;211.6;37.4;0.0;49
50;Barra50;0;0.987;-29.3;0.0;0.0;129.0;-189.6;0.0;50
51;Barra51;0;0.988;-43.4;0.0;0.0;434.7;-157.4;0.0;51
52;Barra52;0;0.921;-27.9;0.0;0.0;203.8;38.7;0.0;52
53;Barra53;0;0.937;-34.9;0.0;0.0;326.0;153.0;0.0;53
54;Barra54;0;0.963;-25.8;0.0;0.0;0.0;0.0;0.0;54
55;Barra55;0;0.926;-28.2;0.0;0.0;415.4;2.6;0.0;55
56;Barra56;0;0.884;-26.5;0.0;0.0;258.0;94.9;0.0;56
57;Barra57;0;0.874;-25.3;0.0;0.0;0.0;0.0;0.0;57
58;Barra58;0;0.874;-24.2;0.0;0.0;0.0;0.0;0.0;58
59;Barra59;0;0.863;-28.2;0.0;0.0;301.9;108.4;0.0;59
60;Barra60;0;0.864;-29.1;0.0;0.0;269.4;91.3;0.0;60
61;Barra61;0;0.913;-41.1;0.0;0.0;134.2;161.2;0.0;61
62;Barra62;0;0.883;-20.1;0.0;0.0;0.0;0.0;0.0;62
63;Barra63;0;0.878;-21.5;0.0;0.0;0.0;0.0;0.0;63
64;Barra64;0;0.799;-21.6;0.0;0.0;11.6;113.5;0.0;64
65;Barra17;0;0.881;-21.3;0.0;0.0;0.0;0.0;0.0;65
66;Barra19;0;0.884;-24.1;0.0;0.0;0.0;0.0;0.0;66
67;Barra67;0;0.89;-26.1;0.0;0.0;412.8;197.4;0.0;67
68;Barra68;0;0.916;-24.3;0.0;0.0;424.4;41.3;0.0;68
