CASO;pATIVA;pREATIVA;dATIVA;dREATIVA
1;100672.5;-8594.5;97044.7;23928.7
2;96574.3;-14481.8;93321.7;22952.3
3;96657.8;-14798.8;93465.6;22990.0
4;95754.7;-15501.8;92558.1;22752.7
5;99190.8;-11331.2;95772.4;23595.1
7;100919.5;-8010.3;97244.3;23986.1
8;96267.8;-15123.0;93079.6;22889.4
9;98212.3;-12577.0;94860.0;23359.4
10;97169.8;-13920.9;93899.8;23107.1
11;100389.4;-8996.6;96775.7;23865.8
12;93979.9;-18186.9;90905.4;22324.3
13;97086.3;-13828.8;93791.2;23079.1
14;96946.1;-14257.1;93701.8;23047.8
15;99780.6;-10019.4;96234.3;23727.0
16;95675.4;-15805.2;92510.1;22739.4
17;97359.4;-13484.5;94042.8;23148.6
18;96107.3;-15015.3;92883.8;22840.4
19;97741.7;-13154.0;94419.4;23246.3
20;98754.8;-11586.0;95314.0;23474.2
21;95663.9;-15891.8;92509.0;22739.3
22;99789.1;-10062.1;96250.2;23730.4
23;99334.4;-10715.7;95834.5;23613.0
24;98562.5;-12091.6;95176.7;23436.1
25;99317.8;-10828.3;95833.5;23612.9
26;96440.2;-14684.4;93203.0;22915.2
27;97430.9;-13537.5;94130.8;23172.0
28;95947.4;-15528.9;92780.5;22815.4
29;97122.6;-14088.3;93873.9;23097.3
30;98643.4;-11787.4;95219.3;23449.9
31;96425.3;-14706.3;93190.2;22913.0
32;96972.1;-13963.8;93683.5;23043.8
33;96361.2;-15205.5;93198.6;22913.7
34;96152.9;-14962.4;92927.4;22853.5
35;96469.6;-14583.8;93220.4;22919.2
36;97667.8;-13069.3;94322.9;23219.2
37;95671.8;-15617.9;92482.1;22736.7
38;98064.0;-12737.4;94717.0;23321.3
39;100771.1;-8314.2;97115.5;23948.2
40;99051.8;-11143.4;95579.8;23541.2
41;97315.5;-13601.4;94011.8;23140.7
42;96091.8;-15036.7;92869.8;22837.9
43;96272.8;-15231.7;93102.1;22894.5
44;100835.0;-8172.2;97169.1;23966.4
45;97793.3;-12899.2;94437.2;23250.5
46;96524.1;-14601.1;93284.0;22940.4
