CASO;pATIVA;pREATIVA;dATIVA;dREATIVA
1;19899.7;-5647.0;19246.1;-402.6
2;14875.1;-6266.2;14271.5;-672.7
3;15056.6;-6374.6;14455.7;-658.7
4;13869.9;-5386.1;13243.6;-725.6
5;18164.2;-6578.1;17553.5;-492.6
6;11286.3;-189.4;10511.1;-872.2
7;20173.9;-5419.7;19510.3;-393.6
8;14546.6;-6031.1;13937.2;-693.0
9;16937.0;-6860.2;16341.4;-559.7
10;15671.0;-6665.5;15076.3;-624.7
11;19524.2;-5928.5;18882.7;-421.6
12;11780.2;-1713.1;11049.6;-845.8
13;15507.3;-6599.7;14911.1;-634.7
14;15375.4;-6542.3;14778.0;-646.7
15;18774.0;-6365.0;18152.1;-463.6
16;13810.6;-5321.6;13182.5;-729.6
17;15842.4;-6721.5;15248.4;-615.7
18;14290.9;-5811.1;13676.0;-703.2
19;16318.9;-6835.7;15725.9;-594.7
20;17531.9;-6765.6;16930.0;-526.6
21;13808.6;-5317.7;13180.5;-728.6
22;18802.5;-6346.4;18180.1;-461.6
23;18251.5;-6560.7;17639.6;-491.6
24;17344.4;-6814.2;16744.8;-543.6
25;18249.4;-6560.1;17637.6;-490.6
26;14716.6;-6156.8;14110.4;-680.8
27;15954.0;-6757.6;15360.5;-612.7
28;14164.9;-5692.7;13546.9;-709.3
29;15633.3;-6659.9;15038.2;-634.7
30;17409.1;-6797.8;16808.8;-534.6
31;14698.8;-6144.9;14092.4;-681.9
32;15345.3;-6532.4;14748.0;-643.7
33;14712.6;-6152.8;14106.4;-679.8
34;14364.3;-5875.0;13751.1;-698.1
35;14740.3;-6168.7;14134.4;-676.8
36;16195.8;-6802.4;15602.7;-590.7
37;13773.6;-5282.0;13144.5;-732.6
38;16749.6;-6864.3;16155.2;-568.7
39;19982.7;-5579.7;19326.1;-398.6
40;17889.9;-6666.9;17283.3;-507.6
41;15797.6;-6708.4;15203.4;-619.7
42;14268.5;-5789.0;13653.0;-703.2
43;14576.0;-6051.3;13967.3;-689.0
44;20056.5;-5513.5;19397.2;-392.6
45;16339.0;-6841.5;15745.9;-596.7
46;14816.2;-6219.8;14211.5;-672.8
47;16646.1;-6860.1;16052.2;-573.7
48;21004.3;-4536.9;20304.0;-345.5
49;16487.3;-6855.2;15894.0;-585.7
50;17607.9;-6745.3;17005.0;-522.6
51;16892.6;-6861.3;16297.4;-560.7
52;15447.4;-6580.5;14851.1;-639.7
53;13714.4;-5211.3;13083.5;-733.7
54;15452.4;-6579.3;14856.1;-637.7
55;15763.6;-6701.6;15169.3;-623.7
56;17539.8;-6766.5;16938.0;-527.6
57;18108.2;-6599.7;17498.5;-498.6
58;18311.6;-6531.0;17698.7;-482.6
59;16859.4;-6861.9;16264.3;-561.7
60;18214.8;-6566.9;17603.6;-490.6
61;14560.4;-6041.6;13951.2;-693.0
62;19047.6;-6222.9;18419.3;-447.6
63;17374.7;-6804.2;16774.8;-537.6
64;15564.7;-6629.4;14969.2;-634.7
65;17318.1;-6817.8;16718.8;-543.6
66;16053.9;-6782.3;15460.6;-607.7
67;18767.8;-6366.2;18146.1;-462.6
68;19655.4;-5834.9;19009.9;-414.6
69;21203.8;-4291.1;20493.2;-336.5
70;13176.6;-4501.9;12525.9;-764.2
71;13071.9;-4342.7;12416.8;-767.2
72;15107.0;-6402.3;14506.7;-653.7
73;16578.7;-6859.3;15985.1;-578.7
74;18189.6;-6572.3;17578.5;-492.6
75;16926.9;-6858.2;16331.4;-557.7
76;11855.6;-1911.7;11130.7;-841.8
77;15545.9;-6618.0;14950.1;-633.7
78;18081.7;-6608.9;17472.4;-501.6
79;16736.5;-6859.4;16142.2;-565.7
80;17934.4;-6657.0;17327.3;-505.6
81;15731.7;-6693.7;15137.3;-627.7
82;15778.5;-6703.0;15184.4;-619.7
83;16637.0;-6862.3;16043.1;-575.7
84;17140.9;-6838.1;16543.6;-546.7
85;16669.2;-6865.9;16075.2;-575.7
86;16485.4;-6855.7;15892.0;-586.7
87;14742.3;-6170.7;14136.4;-677.8
88;17064.2;-6852.6;16467.5;-554.7
89;16493.3;-6857.3;15900.0;-585.7
90;18764.7;-6370.3;18143.1;-464.6
91;18918.5;-6281.4;18293.2;-452.6
92;16636.0;-6863.3;16042.1;-576.7
93;15394.2;-6548.5;14797.0;-643.7
94;14815.1;-6220.7;14210.5;-673.8
95;17168.3;-6836.7;16570.6;-547.7
96;16398.0;-6843.3;15804.9;-587.7
97;15464.5;-6585.2;14868.1;-638.7
98;16321.9;-6835.4;15728.9;-593.7
99;14856.5;-6251.4;14252.5;-673.7
100;17787.4;-6697.4;17182.2;-514.6
101;15233.5;-6476.5;14634.9;-651.7
102;18981.0;-6253.4;18354.3;-447.6
103;17123.0;-6839.3;16525.6;-548.7
104;17552.1;-6759.8;16950.0;-524.6
105;13826.2;-5336.2;13198.6;-726.6
106;16599.8;-6866.9;16006.1;-582.7
107;17884.9;-6669.0;17278.3;-508.6
108;14126.8;-5656.5;13507.8;-711.3
109;15635.2;-6657.8;15040.2;-631.7
110;16297.7;-6836.5;15704.8;-598.7
111;13225.4;-4578.1;12577.0;-763.1
112;16926.9;-6859.4;16331.4;-558.7
113;18123.5;-6591.4;17513.5;-495.6
114;14333.8;-5854.2;13720.0;-703.2
115;17007.7;-6856.8;16411.5;-558.7
116;13357.5;-4763.7;12714.1;-757.0
117;16136.8;-6796.7;15543.7;-599.7
118;12706.5;-3745.2;12034.5;-792.6
119;18744.2;-6378.4;18123.0;-464.6
120;17139.0;-6839.4;16541.6;-548.7
121;16170.8;-6804.5;15577.7;-598.7
122;14517.2;-6004.3;13907.2;-692.0
123;19092.4;-6209.3;18463.4;-450.6
124;20693.3;-4892.4;20007.8;-362.5
125;12195.3;-2722.6;11494.0;-819.8
126;19005.5;-6241.3;18378.3;-445.6
127;19908.1;-5642.0;19254.1;-403.6
128;16978.3;-6859.4;16382.5;-558.7
129;13596.3;-5071.5;12961.3;-742.8
130;18159.1;-6579.9;17548.5;-493.6
131;15824.4;-6712.9;15230.4;-613.7
132;14889.9;-6271.3;14286.5;-668.7
133;13528.3;-4989.7;12891.3;-747.8
134;17457.9;-6789.4;16856.9;-535.6
135;18004.5;-6641.3;17396.4;-506.6
136;14847.6;-6245.2;14243.5;-673.7
137;17388.9;-6799.8;16788.8;-534.6
138;13711.5;-5209.6;13080.5;-734.7
139;18021.8;-6633.6;17413.4;-504.6
140;16325.9;-6836.5;15732.9;-594.7
141;15810.5;-6715.6;15216.4;-620.7
142;15996.8;-6770.6;15403.6;-610.7
143;18171.3;-6576.8;17560.5;-493.6
144;17908.0;-6666.0;17301.3;-508.6
145;17409.1;-6795.3;16808.8;-532.6
146;16531.6;-6854.1;15938.0;-579.7
147;16401.0;-6845.1;15807.9;-588.7
148;17610.0;-6742.8;17007.0;-521.6
149;16743.6;-6864.1;16149.2;-568.7
150;17757.9;-6706.2;17153.2;-514.6
151;15534.9;-6618.0;14939.1;-636.7
152;11017.1;828.2;10211.8;-890.5
153;18559.2;-6456.5;17941.9;-474.6
154;21207.9;-4288.4;20497.2;-336.5
155;17209.8;-6824.6;16611.7;-540.6
156;16001.8;-6772.5;15408.6;-610.7
157;15919.1;-6747.1;15325.5;-613.7
158;15960.0;-6755.9;15366.5;-609.7
159;16265.7;-6834.0;15672.8;-602.7
160;13766.7;-5272.3;13137.5;-730.6
161;15082.4;-6389.7;14481.7;-657.7
162;14033.4;-5552.0;13411.7;-715.4
163;16777.8;-6865.7;16183.3;-568.7
164;15567.7;-6630.0;14972.2;-633.7
165;17331.3;-6817.9;16731.8;-545.6
166;15833.4;-6719.4;15239.4;-616.7
167;18436.9;-6501.3;17821.8;-480.6
168;16700.4;-6864.0;16106.2;-571.7
169;21214.2;-4283.6;20503.2;-338.5
170;12118.2;-2550.9;11411.9;-823.8
171;14799.3;-6209.7;14194.5;-673.8
172;18251.5;-6560.7;17639.6;-491.6
173;22013.8;-3098.6;21253.9;-296.5
