CASO;pATIVA;pREATIVA;dATIVA;dREATIVA
1;98089.8;-12522.8;94711.8;23320.9
2;97539.4;-13254.9;94208.4;23195.2
3;97552.0;-13305.9;94229.6;23199.0
4;97405.4;-13414.5;94082.7;23155.4
5;97900.6;-12830.7;94546.4;23275.2
6;97070.0;-13877.1;93780.6;23076.1
7;98126.4;-12457.0;94742.4;23328.4
8;97477.6;-13369.6;94157.3;23183.1
9;97775.0;-12977.6;94428.7;23248.8
10;97632.3;-13166.2;94297.7;23211.8
11;98051.4;-12560.3;94674.5;23313.6
12;97132.4;-13761.3;93832.2;23088.3
13;97620.9;-13151.6;94282.6;23207.3
14;97596.7;-13225.7;94266.7;23205.0
15;97975.1;-12663.3;94605.1;23296.8
16;97394.7;-13458.5;94077.3;23153.9
17;97649.5;-13119.4;94309.7;23214.4
18;97453.6;-13355.5;94127.6;23168.6
19;97719.8;-13048.2;94376.8;23232.0
20;97846.8;-12846.9;94488.4;23259.3
21;97392.9;-13471.6;94077.3;23153.8
22;97978.9;-12670.6;94610.2;23297.0
23;97920.8;-12743.1;94555.9;23279.0
24;97819.1;-12916.4;94468.3;23256.7
25;97918.7;-12758.3;94555.8;23279.0
26;97519.3;-13285.1;94190.4;23189.7
27;97657.8;-13121.3;94319.5;23217.5
28;97432.6;-13431.3;94115.7;23165.3
29;97623.3;-13193.1;94291.4;23209.5
30;97830.8;-12872.9;94474.7;23257.2
31;97511.7;-13291.4;94183.3;23189.5
32;97601.8;-13166.9;94263.5;23204.7
33;97501.2;-13375.9;94184.3;23189.6
34;97459.3;-13354.9;94134.1;23172.3
35;97522.4;-13269.1;94191.6;23191.0
36;97678.8;-13061.2;94334.0;23220.8
37;97394.8;-13435.7;94074.1;23153.5
38;97751.0;-13000.3;94405.5;23244.0
39;98103.4;-12490.5;94722.2;23323.7
40;97879.6;-12793.8;94517.6;23269.6
41;97646.3;-13128.1;94307.5;23214.0
42;97452.0;-13359.9;94126.4;23167.3
43;97482.8;-13380.7;94164.5;23184.3
44;98115.8;-12464.8;94731.7;23325.4
45;97727.0;-13003.0;94378.0;23232.2
46;97531.7;-13270.8;94202.1;23193.7
47;97750.4;-12968.1;94399.9;23242.1
48;98219.7;-12331.0;94828.2;23354.8
49;97736.3;-13023.0;94391.9;23237.6
50;97850.6;-12839.7;94491.9;23261.0
51;97774.7;-12929.5;94421.5;23248.4
52;97608.6;-13180.8;94273.2;23205.7
53;97385.5;-13461.9;94067.7;23151.9
54;97611.9;-13170.5;94275.2;23205.7
55;97642.9;-13119.8;94302.2;23212.7
56;97848.4;-12835.3;94488.5;23259.4
57;97894.5;-12798.1;94535.0;23274.7
58;97928.4;-12729.0;94562.3;23280.6
59;97769.8;-12946.0;94418.2;23246.1
60;97909.3;-12820.5;94554.6;23277.6
61;97484.8;-13330.1;94159.4;23183.2
62;98011.1;-12628.7;94639.7;23303.3
63;97827.4;-12876.5;94471.4;23256.8
64;97624.0;-13144.6;94284.9;23207.8
65;97808.5;-12958.4;94463.1;23256.3
66;97665.2;-13089.5;94323.2;23219.5
67;97970.4;-12697.6;94605.1;23296.8
68;98058.2;-12598.1;94688.3;23318.8
69;98246.0;-12293.1;94851.3;23357.5
70;97311.6;-13533.2;93997.0;23135.5
71;97288.8;-13585.7;93980.3;23134.5
72;97568.1;-13208.4;94233.0;23200.5
