CASO;pATIVA;pREATIVA;dATIVA;dREATIVA
1;18270.6;-5610.7;17665.6;-490.6
2;15456.3;-5632.4;14866.1;-638.7
3;15560.4;-5679.1;14971.2;-633.7
4;14883.7;-5318.0;14286.5;-668.7
5;17307.0;-5861.8;16713.8;-542.6
6;13386.8;-3843.7;12750.1;-751.0
7;18421.7;-5549.8;17813.8;-480.6
8;15269.0;-5543.6;14676.9;-650.7
9;16613.5;-5923.8;16026.1;-580.7
10;15905.7;-5798.0;15318.5;-612.7
11;18061.2;-5673.7;17459.4;-501.6
12;13677.7;-4214.2;13051.4;-734.7
13;15817.1;-5756.8;15229.4;-613.7
14;15734.5;-5745.1;15146.3;-625.7
15;17644.0;-5775.7;17047.1;-517.6
16;14852.1;-5301.9;14254.5;-674.7
17;16003.5;-5829.3;15416.6;-611.7
18;15124.4;-5461.3;14530.8;-650.7
19;16274.5;-5888.9;15687.8;-600.7
20;16947.1;-5906.7;16357.4;-557.7
21;14850.2;-5299.4;14252.5;-673.7
22;17660.2;-5778.1;17063.1;-521.6
23;17353.4;-5855.6;16759.8;-541.6
24;16848.2;-5914.6;16259.3;-562.7
25;17353.4;-5857.1;16759.8;-542.6
26;15364.1;-5593.7;14773.0;-646.7
27;16059.6;-5838.0;15472.6;-605.7
28;15056.3;-5423.3;14461.7;-657.7
29;15885.1;-5782.3;15297.5;-613.7
30;16886.4;-5911.7;16297.4;-559.7
31;15356.0;-5587.5;14765.0;-643.7
32;15723.4;-5743.5;15135.3;-627.7
33;15358.1;-5591.3;14767.0;-646.7
34;15164.8;-5488.8;14571.8;-652.7
35;15381.8;-5600.8;14791.0;-643.7
36;16200.5;-5858.1;15613.8;-589.7
37;14831.5;-5282.0;14233.5;-670.7
38;16512.1;-5912.5;15925.0;-582.7
39;18311.5;-5588.0;17705.7;-482.6
40;17149.2;-5876.6;16557.6;-545.6
41;15980.6;-5818.0;15393.6;-607.7
42;15114.6;-5457.0;14520.8;-653.7
43;15287.7;-5555.7;14695.9;-649.7
44;18359.2;-5572.5;17752.7;-480.6
45;16282.3;-5890.8;15695.8;-599.7
46;15420.4;-5618.3;14830.0;-640.7
47;16455.1;-5904.7;15868.0;-585.7
48;18879.8;-5341.5;18262.2;-458.6
49;16366.7;-5897.3;15779.9;-591.7
50;16992.5;-5905.0;16402.5;-556.7
51;16591.7;-5920.8;16004.1;-582.7
52;15775.3;-5749.4;15187.4;-620.7
53;14797.0;-5261.6;14198.5;-674.8
54;15781.3;-5751.4;15193.4;-620.7
55;15955.6;-5812.7;15368.5;-610.7
56;16953.1;-5906.9;16363.4;-557.7
57;17272.5;-5869.7;16679.7;-545.6
58;17392.0;-5841.3;16797.8;-534.6
59;16575.5;-5917.9;15988.1;-581.7
60;17331.2;-5858.4;16737.8;-542.6
61;15279.8;-5546.6;14687.9;-646.7
62;17797.8;-5740.6;17199.2;-513.6
63;16861.2;-5913.3;16272.4;-560.7
64;15849.0;-5770.6;15261.4;-613.7
65;16831.0;-5911.7;16242.3;-560.7
66;16124.4;-5854.0;15537.7;-602.7
67;17642.9;-5781.3;17046.1;-521.6
68;18136.3;-5649.8;17533.5;-494.6
69;18983.6;-5273.7;18363.3;-445.6
70;14488.6;-5025.6;13884.2;-690.0
71;14429.8;-4977.1;13824.1;-694.1
72;15586.2;-5689.7;14997.2;-632.7
73;16419.8;-5903.5;15833.0;-587.7
74;17319.2;-5861.9;16725.8;-544.6
75;16611.6;-5924.8;16024.1;-582.7
76;13726.1;-4272.8;13101.5;-731.7
77;15837.2;-5766.9;15249.4;-615.7
78;17259.3;-5868.6;16666.7;-542.6
79;16509.1;-5909.9;15922.0;-580.7
80;17177.7;-5870.9;16585.6;-545.6
81;15938.6;-5809.5;15351.5;-612.7
82;15967.6;-5816.5;15380.5;-610.7
83;16449.1;-5900.6;15862.0;-582.7
84;16731.4;-5912.2;16143.2;-565.7
85;16464.1;-5904.2;15877.0;-583.7
86;16363.7;-5896.7;15776.9;-591.7
87;15381.8;-5600.8;14791.0;-643.7
88;16691.1;-5919.8;16103.2;-571.7
89;16370.7;-5898.2;15783.9;-591.7
90;17638.9;-5779.5;17042.1;-519.6
91;17727.9;-5758.7;17130.1;-516.6
92;16449.1;-5900.6;15862.0;-582.7
93;15749.4;-5749.0;15161.3;-623.7
94;15419.4;-5619.0;14829.0;-641.7
95;16751.4;-5918.5;16163.3;-568.7
96;16315.6;-5889.8;15728.9;-593.7
97;15790.4;-5752.9;15202.4;-620.7
98;16275.4;-5887.5;15688.8;-598.7
99;15448.1;-5629.2;14858.1;-637.7
100;17100.4;-5897.3;16509.6;-551.7
101;15660.8;-5713.5;15072.3;-624.7
102;17762.2;-5751.3;17164.2;-515.6
103;16724.3;-5913.3;16136.2;-566.7
