CASO;pATIVA;pREATIVA;dATIVA;dREATIVA
1;98554.2;-7721.7;94758.9;21248.8
2;95091.6;-12222.0;91573.7;20533.6
3;95276.7;-11509.6;91713.7;20562.2
4;94387.5;-13113.0;90916.7;20383.0
5;97403.9;-9046.2;93695.1;21006.9
6;92526.5;-15606.7;89154.5;19991.4
7;98738.5;-7509.2;94926.3;21286.4
8;94874.7;-12246.4;91357.7;20482.5
9;96528.6;-10351.1;92899.7;20830.8
10;95653.4;-11428.8;92089.8;20647.3
11;98304.0;-8153.6;94532.7;21199.1
12;92878.4;-15219.3;89499.9;20071.2
13;95530.2;-11732.5;91982.9;20622.2
14;95452.4;-11611.9;91899.8;20604.4
15;97782.9;-8896.7;94059.1;21089.8
16;94354.8;-13031.5;90880.3;20375.5
17;95752.1;-11464.0;92189.0;20673.9
18;94684.0;-12746.7;91194.3;20449.4
19;96109.0;-10929.6;92514.9;20740.2
20;96930.5;-10029.3;93278.5;20915.3
21;94357.8;-12962.2;90879.3;20375.5
22;97805.2;-8838.4;94078.8;21094.1
23;97433.4;-9378.7;93740.5;21018.3
24;96803.6;-10021.5;93154.9;20890.8
25;97433.7;-9325.3;93739.5;21018.2
26;94972.7;-12333.0;91461.4;20516.4
27;95825.2;-11281.1;92252.9;20687.0
28;94616.7;-12571.2;91117.1;20430.9
29;95637.0;-11317.6;92066.3;20642.0
30;96848.5;-10118.9;93202.9;20897.1
31;94963.5;-12339.5;91452.7;20514.4
32;95425.0;-11868.0;91885.7;20600.8
33;95016.7;-11657.9;91460.1;20516.0
34;94726.4;-12685.7;91233.2;20458.6
35;94983.6;-12363.9;91473.5;20519.0
36;95991.0;-11207.5;92411.7;20716.5
37;94324.7;-13188.1;90857.8;20371.3
38;96387.4;-10556.2;92771.4;20810.6
39;98609.3;-7695.0;94809.1;21257.8
40;97186.1;-9703.8;93513.6;20970.3
41;95718.4;-11460.2;92156.4;20667.5
42;94670.4;-12761.4;91181.4;20447.1
43;94910.3;-12008.0;91376.9;20488.3
44;98666.3;-7621.7;94861.1;21271.5
45;96113.3;-11057.5;92524.6;20744.3
46;95058.1;-12218.0;91540.5;20525.4
47;96322.9;-10793.2;92718.2;20792.4
48;99315.5;-6527.8;95445.3;21401.1
49;96224.6;-10763.9;92620.8;20767.7
50;96987.5;-9965.9;93330.9;20921.4
51;96493.7;-10591.8;92876.3;20825.6
52;95495.3;-11720.2;91948.4;20611.4
53;94287.5;-13165.8;90819.5;20359.0
54;95495.6;-11767.9;91950.6;20611.8
55;95697.7;-11543.7;92139.0;20660.3
56;96939.9;-10032.7;93287.8;20915.8
57;97341.5;-9397.0;93653.3;20999.8
58;97473.8;-9319.5;93777.5;21031.8
59;96459.7;-10620.7;92844.2;20820.8
60;97426.8;-8987.4;93714.4;21012.3
61;94873.2;-12432.9;91367.3;20486.4
62;97990.4;-8580.4;94247.0;21131.8
63;96822.8;-10163.0;93179.6;20893.0
