CASO;pATIVA;pREATIVA;dATIVA;dREATIVA
1;18966.8;-6255.1;18340.2;-449.6
2;15208.7;-6469.0;14609.8;-656.7
3;15345.3;-6532.4;14748.0;-643.7
4;14450.6;-5948.7;13839.1;-695.1
5;17680.9;-6727.1;17077.1;-519.6
6;12476.5;-3312.9;11792.3;-803.8
7;19172.8;-6155.3;18541.4;-441.6
8;14964.9;-6316.7;14362.6;-667.7
9;16759.6;-6866.3;16165.3;-568.7
10;15808.5;-6714.5;15214.4;-620.7
11;18692.0;-6402.0;18072.0;-467.6
12;12858.2;-4009.4;12193.6;-785.4
13;15685.9;-6675.4;15091.3;-627.7
14;15584.6;-6636.3;14989.2;-633.7
15;18130.5;-6590.1;17520.5;-495.6
16;14410.2;-5913.0;13798.1;-694.1
17;15934.1;-6753.2;15340.5;-614.7
18;14772.8;-6192.1;14167.4;-676.8
19;16295.7;-6836.3;15702.8;-598.7
20;17197.7;-6823.9;16599.7;-539.6
21;14408.3;-5911.0;13796.1;-694.1
22;18151.9;-6583.2;17541.5;-493.6
23;17738.7;-6711.4;17134.1;-516.6
24;17064.2;-6852.6;16467.5;-554.7
25;17737.7;-6711.7;17133.1;-516.6
26;15089.3;-6391.0;14488.7;-655.7
27;16021.8;-6777.0;15428.6;-609.7
28;14674.3;-6122.8;14067.3;-680.9
29;15778.5;-6703.0;15184.4;-619.7
30;17112.7;-6843.5;16515.6;-550.7
31;15076.4;-6385.9;14475.7;-657.7
32;15564.7;-6628.4;14969.2;-633.7
33;15083.4;-6391.3;14482.7;-658.7
34;14823.0;-6226.1;14218.5;-672.7
35;15112.0;-6405.0;14511.8;-653.7
36;16202.8;-6802.4;15609.8;-589.7
37;14383.9;-5892.1;13771.1;-697.1
38;16616.8;-6868.2;16023.1;-581.7
39;19029.0;-6236.8;18401.3;-449.6
40;17469.0;-6782.3;16867.9;-530.6
41;15905.2;-6739.2;15311.5;-611.7
42;14756.0;-6182.1;14150.4;-677.8
43;14985.7;-6328.8;14383.6;-666.7
44;19086.3;-6207.2;18457.3;-446.6
45;16308.8;-6838.8;15715.8;-598.7
46;15170.0;-6443.5;14570.8;-653.7
47;16543.5;-6857.6;15950.1;-580.7
48;19785.8;-5742.7;19136.0;-412.6
49;16426.1;-6848.6;15833.0;-587.7
50;17257.3;-6822.1;16658.7;-540.6
51;16726.4;-6864.6;16132.2;-569.7
52;15638.3;-6657.4;15043.2;-630.7
53;14338.8;-5853.8;13725.0;-700.2
54;15642.2;-6658.7;15047.2;-629.7
55;15875.2;-6730.8;15281.5;-612.7
56;17206.8;-6823.2;16608.7;-539.6
57;17632.2;-6740.2;17029.0;-522.6
58;17789.4;-6697.0;17184.2;-514.6
59;16702.4;-6863.8;16108.2;-571.7
60;17715.3;-6721.3;17111.1;-519.6
61;14970.8;-6320.1;14368.6;-667.7
62;18334.0;-6528.5;17720.7;-484.6
63;17086.4;-6845.1;16489.6;-549.7
64;15729.7;-6691.3;15135.3;-626.7
65;17039.0;-6853.9;16442.5;-556.7
66;16097.0;-6786.5;15503.7;-601.7
67;18128.5;-6589.4;17518.5;-494.6
68;18792.1;-6359.5;18170.1;-462.6
69;19932.9;-5622.9;19278.1;-402.6
70;13922.3;-5445.3;13297.6;-722.5
71;13848.5;-5363.9;13221.6;-728.6
72;15385.2;-6544.2;14788.0;-643.7
73;16487.3;-6855.2;15894.0;-585.7
74;17694.1;-6724.3;17090.1;-519.6
75;16755.6;-6864.5;16161.3;-567.7
76;12918.4;-4107.8;12256.7;-781.4
77;15714.9;-6687.2;15120.3;-628.7
78;17615.1;-6741.6;17012.0;-521.6
79;16610.8;-6868.0;16017.1;-581.7
80;17503.4;-6773.6;16901.9;-528.6
81;15857.3;-6725.3;15263.4;-613.7
82;15891.3;-6735.8;15297.5;-613.7
83;16534.5;-6855.1;15941.1;-579.7
84;16911.8;-6861.4;16316.4;-560.7
85;16552.7;-6854.0;15959.1;-577.7
86;16425.1;-6848.8;15832.0;-587.7
87;15112.0;-6405.0;14511.8;-653.7
88;16854.4;-6862.5;16259.3;-562.7
89;16429.1;-6849.6;15836.0;-587.7
90;18124.5;-6588.7;17514.5;-492.6
91;18245.3;-6559.9;17633.6;-489.6
92;16532.6;-6854.2;15939.1;-579.7
93;15603.5;-6645.3;15008.2;-633.7
94;15168.1;-6441.7;14568.8;-653.7
95;16932.0;-6856.8;16336.4;-556.7
96;16348.9;-6840.4;15755.9;-593.7
97;15653.2;-6657.6;15058.2;-625.7
98;16297.7;-6836.5;15704.8;-598.7
99;15198.9;-6459.9;14599.8;-654.7
100;17398.1;-6798.2;16797.8;-534.6
101;15481.4;-6592.1;14885.1;-637.7
102;18287.1;-6543.6;17674.6;-487.6
103;16896.6;-6862.2;16301.4;-560.7
104;17216.8;-6825.9;16618.7;-541.6
105;14416.2;-5916.6;13804.1;-693.1
106;16510.4;-6853.2;15917.0;-580.7
107;17468.0;-6781.8;16866.9;-529.6
108;14646.9;-6101.3;14039.3;-681.9
109;15781.5;-6705.5;15187.4;-620.7
110;16281.7;-6833.1;15688.8;-598.7
111;13961.3;-5490.3;13337.7;-722.5
112;16755.6;-6864.5;16161.3;-567.7
113;17644.4;-6733.9;17041.1;-519.6
114;14800.3;-6211.8;14195.5;-674.8
115;16810.1;-6863.4;16215.3;-565.7
116;14064.4;-5597.2;13443.8;-716.4
117;16155.8;-6799.6;15562.7;-597.7
118;13569.0;-5034.0;12933.3;-740.8
119;18113.3;-6594.3;17503.5;-495.6
120;16911.8;-6861.4;16316.4;-560.7
121;16183.9;-6804.0;15590.7;-595.7
122;14939.3;-6304.6;14336.6;-668.7
123;18368.3;-6524.1;17754.7;-481.6
124;19556.2;-5907.0;18913.8;-419.6
125;13180.4;-4507.6;12529.9;-763.1
126;18301.4;-6534.6;17688.7;-483.6
127;18968.8;-6251.2;18342.2;-447.6
128;16790.9;-6867.1;16196.3;-568.7
129;14243.1;-5764.6;13626.9;-704.2
130;17677.9;-6729.7;17074.1;-521.6
131;15920.1;-6747.3;15326.5;-613.7
132;15220.7;-6470.7;14621.9;-653.7
133;14194.1;-5722.4;13576.9;-708.3
134;17148.0;-6836.2;16550.6;-545.7
135;17557.2;-6760.8;16955.0;-526.6
136;15191.9;-6455.2;14592.8;-653.7
137;17098.6;-6847.0;16501.6;-552.7
138;14334.8;-5850.7;13721.0;-700.2
139;17571.4;-6757.7;16969.0;-527.6
140;16299.7;-6836.4;15706.8;-597.7
141;15912.1;-6743.6;15318.5;-612.7
142;16051.9;-6782.8;15458.6;-608.7
143;17680.9;-6727.1;17077.1;-519.6
144;17484.2;-6777.0;16882.9;-527.6
145;17110.6;-6846.7;16513.6;-552.7
146;16454.4;-6843.7;15861.0;-581.7
147;16351.0;-6841.9;15757.9;-594.7
148;17258.3;-6824.2;16659.7;-542.6
149;16612.8;-6865.1;16019.1;-579.7
150;17369.6;-6804.4;16769.8;-536.6
151;15707.9;-6680.8;15113.3;-625.7
152;12263.8;-2875.0;11567.1;-814.9
153;17974.9;-6647.3;17367.3;-504.6
154;19935.0;-5620.1;19280.1;-401.6
155;16963.4;-6855.3;16367.4;-556.7
156;16054.9;-6783.1;15461.6;-607.7
157;15994.9;-6768.6;15401.6;-609.7
158;16028.9;-6777.9;15435.6;-609.7
159;16252.7;-6834.6;15659.8;-605.7
160;14373.1;-5882.0;13760.1;-697.1
161;15362.3;-6540.8;14765.0;-644.7
162;14576.0;-6051.3;13967.3;-689.0
163;16637.0;-6862.3;16043.1;-575.7
