numero;nome;tipo;tensao;angulo;potencia_ativa;potencia_reativa;demanda_ativa;demanda_reativa;shunt_barra;area
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
12;LCBARRET-4GR;1;1.0;-24.2;300.0;-202.5;0.0;0.0;0.0;1
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
1504;ITAJUBA--138;0;1.028;-53.5;0.0;0.0;145.0;63.0;0.0;2
800;GBMUNHOZ-2GR;1;1.02;-7.1;1100.0;138.9;0.0;0.0;0.0;3
800;GBMUNHOZ-2GR;1;1.02;-7.1;1100.0;138.9;0.0;0.0;0.0;3
800;GBMUNHOZ-2GR;1;1.02;-7.1;1100.0;138.9;0.0;0.0;0.0;3
800;GBMUNHOZ-2GR;1;1.02;-7.1;1100.0;138.9;0.0;0.0;0.0;3
800;GBMUNHOZ-2GR;1;1.02;-7.1;1100.0;138.9;0.0;0.0;0.0;3
800;GBMUNHOZ-2GR;1;1.02;-7.1;1100.0;138.9;0.0;0.0;0.0;3
800;GBMUNHOZ-2GR;1;1.02;-7.1;1100.0;138.9;0.0;0.0;0.0;3
800;GBMUNHOZ-2GR;1;1.02;-7.1;1100.0;138.9;0.0;0.0;0.0;3
800;GBMUNHOZ-2GR;1;1.02;-7.1;1100.0;138.9;0.0;0.0;0.0;3
800;GBMUNHOZ-2GR;1;1.02;-7.1;1100.0;138.9;0.0;0.0;0.0;3
800;GBMUNHOZ-2GR;1;1.02;-7.1;1100.0;138.9;0.0;0.0;0.0;3
800;GBMUNHOZ-2GR;1;1.02;-7.1;1100.0;138.9;0.0;0.0;0.0;3
800;GBMUNHOZ-2GR;1;1.02;-7.1;1100.0;138.9;0.0;0.0;0.0;3
800;GBMUNHOZ-2GR;1;1.02;-7.1;1100.0;138.9;0.0;0.0;0.0;3
800;GBMUNHOZ-2GR;1;1.02;-7.1;1100.0;138.9;0.0;0.0;0.0;3
800;GBMUNHOZ-2GR;1;1.02;-7.1;1100.0;138.9;0.0;0.0;0.0;3
800;GBMUNHOZ-2GR;1;1.02;-7.1;1100.0;138.9;0.0;0.0;0.0;3
800;GBMUNHOZ-2GR;1;1.02;-7.1;1100.0;138.9;0.0;0.0;0.0;3
800;GBMUNHOZ-2GR;1;1.02;-7.1;1100.0;138.9;0.0;0.0;0.0;3
800;GBMUNHOZ-2GR;1;1.02;-7.1;1100.0;138.9;0.0;0.0;0.0;3
800;GBMUNHOZ-2GR;1;1.02;-7.1;1100.0;138.9;0.0;0.0;0.0;3
