numero;nome;tipo;tensao;angulo;potencia_ativa;potencia_reativa;demanda_ativa;demanda_reativa;shunt_barra;area
1;Barra01;1;1.045;-9.0;250.0;196.2;0.0;0.0;0.0;1
2;Barra02;1;0.98;-1.0;545.0;70.1;0.0;0.0;0.0;2
3;Barra03;1;0.983;1.6;650.0;80.9;0.0;0.0;0.0;3
4;Barra04;1;0.997;1.7;632.0;0.3;0.0;0.0;0.0;4
5;Barra05;1;1.011;-0.6;505.0;116.6;0.0;0.0;0.0;5
6;Barra06;1;1.05;3.8;700.0;254.5;0.0;0.0;0.0;6
7;Barra07;1;1.063;6.0;560.0;290.8;0.0;0.0;0.0;7
8;Barra08;1;1.03;-2.8;540.0;49.1;0.0;0.0;0.0;8
9;Barra09;1;1.025;2.6;800.0;59.8;0.0;0.0;0.0;9
10;Barra10;1;1.01;-9.7;500.0;-12.7;0.0;0.0;0.0;10
11;Barra11;1;1.0;-7.2;1000.0;8.9;0.0;0.0;0.0;11
12;Barra12;1;1.015;-22.6;1350.0;275.7;0.0;0.0;0.0;12
13;Barra13;1;1.011;-28.7;3591.0;888.3;0.0;0.0;0.0;13
14;Barra14;1;1.0;11.0;1785.0;47.6;0.0;0.0;0.0;14
15;Barra15;1;1.0;0.0;1000.0;76.7;0.0;0.0;0.0;15
16;Barra16;2;1.0;-0.0;3379.6;93.9;0.0;0.0;0.0;16
17;Barra17;0;0.95;-36.0;0.0;0.0;6000.0;300.0;0.0;17
18;Barra18;0;1.002;-5.8;0.0;0.0;2470.0;123.0;0.0;18
19;Barra19;0;0.932;-4.3;0.0;0.0;0.0;0.0;0.0;19
20;Barra20;0;0.981;-5.9;0.0;0.0;680.0;103.0;0.0;20
21;Barra21;0;0.96;-7.1;0.0;0.0;274.0;115.0;0.0;21
22;Barra22;0;0.994;-1.8;0.0;0.0;0.0;0.0;0.0;22
23;Barra23;0;0.996;-2.2;0.0;0.0;248.0;85.0;0.0;23
24;Barra24;0;0.959;-9.9;0.0;0.0;309.0;-92.0;0.0;24
25;Barra25;0;0.998;-10.0;0.0;0.0;224.0;47.0;0.0;25
26;Barra26;0;0.987;-11.0;0.0;0.0;139.0;17.0;0.0;26
27;Barra27;0;0.968;-12.9;0.0;0.0;281.0;76.0;0.0;27
28;Barra28;0;0.99;-7.5;0.0;0.0;206.0;28.0;0.0;28
29;Barra29;0;0.992;-4.5;0.0;0.0;284.0;27.0;0.0;29
30;Barra30;0;0.976;-19.7;0.0;0.0;0.0;0.0;0.0;30
31;Barra31;0;0.984;-17.5;0.0;0.0;0.0;0.0;0.0;31
32;Barra32;0;0.97;-15.2;0.0;0.0;0.0;0.0;0.0;32
33;Barra33;0;0.974;-19.8;0.0;0.0;112.0;0.0;0.0;33
34;Barra34;0;0.98;-26.1;0.0;0.0;0.0;0.0;0.0;34
35;Barra35;0;1.043;-27.1;0.0;0.0;0.0;0.0;0.0;35
36;Barra36;0;0.96;-28.8;0.0;0.0;102.0;-19.5;0.0;36
37;Barra37;0;0.955;-11.8;0.0;0.0;0.0;0.0;0.0;37
38;Barra38;0;0.989;-18.8;0.0;0.0;0.0;0.0;0.0;38
39;Barra39;0;0.991;-39.3;0.0;0.0;267.0;12.6;0.0;39
40;Barra40;0;1.044;-13.6;0.0;0.0;65.6;23.5;0.0;40
41;Barra41;0;1.0;9.4;0.0;0.0;1000.0;250.0;0.0;41
42;Barra42;0;0.999;-0.8;0.0;0.0;1150.0;250.0;0.0;42
43;Barra43;0;0.976;-37.9;0.0;0.0;0.0;0.0;0.0;43
44;Barra44;0;0.977;-38.0;0.0;0.0;267.6;4.8;0.0;44
45;Barra45;0;1.047;-29.4;0.0;0.0;208.0;21.0;0.0;45
46;Barra46;0;0.99;-20.5;0.0;0.0;150.7;28.5;0.0;46
47;Barra47;0;1.018;-19.5;0.0;0.0;203.1;32.6;0.0;47
48;Barra48;0;1.034;-18.4;0.0;0.0;241.2;2.2;0.0;48
49;Barra49;0;0.994;-19.8;0.0;0.0;164.0;29.0;0.0;49
50;Barra50;0;1.06;-19.1;0.0;0.0;100.0;-147.0;0.0;50
51;Barra51;0;1.063;-27.3;0.0;0.0;337.0;-122.0;0.0;51
52;Barra52;0;0.955;-12.8;0.0;0.0;158.0;30.0;0.0;52
53;Barra53;0;0.986;-18.9;0.0;0.0;252.7;118.6;0.0;53
54;Barra54;0;0.986;-11.5;0.0;0.0;0.0;0.0;0.0;54
55;Barra55;0;0.957;-13.2;0.0;0.0;322.0;2.0;0.0;55
56;Barra56;0;0.921;-12.0;0.0;0.0;200.0;73.6;0.0;56
57;Barra57;0;0.91;-11.2;0.0;0.0;0.0;0.0;0.0;57
58;Barra58;0;0.909;-10.4;0.0;0.0;0.0;0.0;0.0;58
59;Barra59;0;0.904;-13.3;0.0;0.0;234.0;84.0;0.0;59
60;Barra60;0;0.906;-14.0;0.0;0.0;208.8;70.8;0.0;60
61;Barra61;0;0.956;-23.2;0.0;0.0;104.0;125.0;0.0;61
62;Barra62;0;0.912;-7.3;0.0;0.0;0.0;0.0;0.0;62
63;Barra63;0;0.91;-8.4;0.0;0.0;0.0;0.0;0.0;63
64;Barra64;0;0.837;-8.4;0.0;0.0;9.0;88.0;0.0;64
65;Barra17;0;0.913;-8.2;0.0;0.0;0.0;0.0;0.0;65
66;Barra19;0;0.919;-10.2;0.0;0.0;0.0;0.0;0.0;66
67;Barra67;0;0.928;-11.4;0.0;0.0;320.0;153.0;0.0;67
68;Barra68;0;0.948;-10.1;0.0;0.0;329.0;32.0;0.0;68
