CASO;pATIVA;pREATIVA;dATIVA;dREATIVA
1;100777.6;-10114.8;96707.3;23793.9
2;99604.3;-11705.4;95627.5;23497.2
3;99541.8;-12522.7;95666.8;23505.7
4;99374.9;-11914.5;95405.7;23443.8
5;100297.7;-11352.3;96341.4;23687.2
6;98688.2;-13172.5;94820.8;23280.6
7;100863.0;-9810.3;96761.4;23806.7
8;99464.0;-12291.0;95551.4;23481.9
9;100041.7;-11418.6;96070.8;23627.4
10;99746.4;-11792.8;95794.5;23542.6
11;100715.2;-10026.4;96628.2;23777.4
12;98863.4;-12592.2;94935.7;23309.2
13;99754.3;-11480.0;95762.4;23533.4
14;99666.4;-11990.7;95732.8;23526.8
15;100525.8;-10304.7;96456.5;23731.2
16;99322.1;-12250.0;95390.9;23436.6
17;99836.4;-11379.9;95839.5;23551.7
18;99467.8;-11789.1;95491.1;23471.0
19;99928.1;-11463.0;95951.4;23590.8
20;100230.8;-10795.8;96196.9;23659.4
21;99306.4;-12378.1;95390.9;23436.6
22;100517.8;-10402.2;96460.8;23734.6
23;100416.0;-10493.8;96359.4;23696.7
24;100141.1;-11263.6;96158.7;23648.0
25;100396.7;-10656.7;96359.4;23696.7
26;99555.4;-11805.2;95587.5;23490.2
27;99836.2;-11562.9;95862.9;23558.8
28;99374.7;-12392.4;95467.5;23463.6
29;99712.9;-12042.6;95789.9;23539.7
30;100197.1;-10879.4;96170.5;23651.2
31;99551.1;-11816.4;95584.3;23488.9
32;99726.7;-11440.2;95727.4;23524.3
33;99440.6;-12748.2;95587.4;23490.1
34;99477.1;-11827.7;95506.0;23474.4
35;99582.7;-11662.4;95598.9;23492.7
36;99911.9;-11188.7;95897.9;23567.4
37;99344.2;-11980.6;95380.4;23435.9
38;100006.9;-11388.8;96028.5;23612.8
39;100809.7;-9939.6;96720.3;23799.4
40;100321.3;-10615.9;96272.1;23677.0
41;99810.3;-11479.6;95824.0;23550.9
42;99465.1;-11803.1;95489.9;23469.6
43;99440.2;-12560.1;95561.8;23483.6
44;100842.0;-9822.6;96740.1;23802.6
45;99970.7;-11101.6;95951.6;23591.1
46;99578.8;-11814.1;95613.8;23495.2
