CASO;pATIVA;pREATIVA;dATIVA;dREATIVA
1;18644.7;-4101.4;17891.8;-474.6
2;15562.7;-2600.0;14779.0;-646.7
3;15673.1;-2722.8;14893.1;-636.7
4;14945.7;-1735.0;14136.4;-677.8
5;17581.9;-4016.6;16833.9;-536.6
6;13360.8;2060.6;12430.9;-768.2
7;18812.3;-4073.1;18057.0;-464.6
8;15361.8;-2340.5;14570.8;-652.7
9;16832.9;-3708.0;16079.2;-574.7
10;16051.4;-3116.1;15282.5;-616.7
11;18416.0;-4127.1;17665.6;-490.6
12;13665.8;1074.4;12768.2;-751.0
13;15952.8;-3019.5;15181.4;-619.7
14;15870.2;-2940.1;15096.3;-628.7
15;17954.1;-4100.8;17206.2;-513.6
16;14915.9;-1692.0;14105.4;-679.8
17;16159.8;-3212.4;15393.6;-607.7
18;15203.3;-2120.0;14405.7;-660.7
19;16451.5;-3462.6;15691.8;-599.7
20;17186.7;-3886.1;16436.5;-558.7
21;14915.9;-1690.9;14105.4;-678.8
22;17968.2;-4103.7;17220.2;-514.6
23;17632.9;-4021.9;16884.9;-527.6
24;17082.2;-3836.3;16331.4;-558.7
25;17631.9;-4021.7;16883.9;-527.6
26;15466.3;-2474.8;14678.9;-650.7
27;16223.3;-3275.0;15458.6;-609.7
28;15131.1;-2022.2;14330.6;-667.7
29;16031.9;-3093.1;15262.4;-613.7
30;17120.2;-3851.7;16369.4;-557.7
31;15453.6;-2461.9;14665.9;-652.7
32;15852.7;-2916.3;15078.3;-624.7
33;15463.4;-2470.4;14675.9;-650.7
34;15251.3;-2188.8;14455.7;-658.7
35;15485.3;-2502.6;14698.9;-649.7
36;16373.3;-3382.0;15611.8;-589.7
37;14887.4;-1642.3;14075.4;-680.9
38;16712.7;-3627.9;15957.1;-577.7
39;18691.4;-4098.8;17937.9;-474.6
40;17408.1;-3972.5;16659.7;-542.6
41;16132.4;-3188.2;15365.5;-610.7
42;15193.7;-2107.1;14395.6;-661.7
43;15385.0;-2372.0;14594.8;-653.7
44;18737.2;-4082.8;17982.9;-466.6
45;16462.3;-3470.2;15702.8;-598.7
46;15530.7;-2559.7;14746.0;-645.7
47;16648.5;-3595.6;15892.0;-586.7
48;19318.6;-3937.5;18554.4;-441.6
49;16560.7;-3535.0;15802.9;-589.7
50;17243.1;-3906.8;16493.6;-549.7
51;16799.3;-3688.2;16045.2;-576.7
52;15912.9;-2983.6;15140.3;-625.7
53;14855.0;-1587.1;14041.3;-681.9
54;15915.0;-2987.1;15142.3;-627.7
55;16104.1;-3166.7;15336.5;-614.7
56;17192.6;-3888.0;16442.5;-556.7
57;17545.8;-4013.0;16797.8;-534.6
58;17675.0;-4032.4;16927.0;-526.6
59;16779.5;-3680.1;16025.1;-579.7
60;17612.9;-4022.5;16864.9;-532.6
61;15376.3;-2357.5;14585.8;-650.7
62;18122.8;-4124.0;17374.4;-507.6
63;17094.2;-3847.4;16343.4;-562.7
64;15988.0;-3055.4;15217.4;-620.7
65;17065.3;-3828.9;16314.4;-559.7
66;16287.9;-3322.4;15524.7;-600.7
67;17952.1;-4099.9;17204.2;-513.6
68;18498.9;-4116.2;17747.7;-481.6
69;19433.5;-3880.9;18666.5;-429.6
70;14517.2;-987.5;13685.0;-704.2
71;14460.7;-872.3;13624.9;-705.2
72;15707.9;-2765.6;14929.1;-636.7
73;16610.2;-3559.9;15853.0;-582.7
74;17596.8;-4025.0;16848.9;-537.6
75;16821.9;-3703.8;16068.2;-575.7
76;13711.8;940.6;12818.2;-749.9
77;15974.5;-3038.8;15203.4;-619.7
78;17530.7;-4009.0;16782.8;-534.6
79;16706.6;-3629.6;15951.1;-580.7
80;17441.0;-3983.2;16692.7;-541.6
81;16087.5;-3147.2;15319.5;-612.7
82;16118.7;-3180.2;15351.5;-613.7
83;16645.6;-3591.3;15889.0;-585.7
84;16952.5;-3774.0;16200.3;-567.7
85;16661.1;-3602.4;15905.0;-582.7
86;16555.9;-3529.4;15797.9;-588.7
87;15485.3;-2502.6;14698.9;-649.7
88;16911.9;-3749.5;16159.2;-567.7
89;16562.7;-3535.2;15804.9;-588.7
90;17950.2;-4098.0;17202.2;-513.6
91;18045.5;-4111.4;17297.3;-507.6
92;16642.6;-3587.4;15886.0;-583.7
93;15879.8;-2949.8;15106.3;-626.7
94;15527.8;-2554.9;14743.0;-645.7
95;16969.4;-3777.9;16217.3;-563.7
96;16497.8;-3492.7;15738.9;-594.7
97;15924.7;-2994.6;15152.3;-624.7
98;16455.4;-3465.9;15695.8;-599.7
99;15550.2;-2580.8;14766.0;-644.7
100;17346.6;-3940.9;16597.7;-539.6
101;15785.7;-2853.3;15009.2;-635.7
102;18083.4;-4119.8;17335.3;-506.6
103;16943.7;-3768.0;16191.3;-568.7
104;17206.4;-3892.7;16456.5;-553.7
105;14920.7;-1701.0;14110.4;-680.8
106;16623.0;-3570.0;15866.0;-582.7
107;17406.2;-3968.9;16657.7;-540.6
108;15105.4;-1982.2;14303.6;-667.7
109;16033.8;-3095.0;15264.4;-613.7
110;16437.9;-3453.8;15677.8;-602.7
111;14551.1;-1050.6;13721.0;-700.2
112;16820.1;-3700.5;16066.2;-575.7
113;17555.7;-4016.9;16807.8;-533.6
114;15230.1;-2163.5;14433.7;-662.7
115;16870.5;-3724.5;16117.2;-569.7
116;14630.8;-1194.2;13805.1;-693.1
117;16339.9;-3365.5;15577.7;-598.7
118;14236.1;-401.7;13385.7;-718.4
119;17936.1;-4096.2;17188.2;-513.6
120;16951.4;-3775.5;16199.3;-568.7
121;16358.6;-3373.8;15596.7;-592.7
122;15349.3;-2321.8;14557.8;-651.7
123;18153.0;-4124.1;17404.4;-505.6
124;19123.8;-3992.2;18363.3;-445.6
125;13921.0;353.2;13046.4;-737.7
126;18099.6;-4117.8;17351.3;-504.6
127;18646.7;-4103.2;17893.8;-475.6
128;16855.6;-3716.8;16102.2;-569.7
129;14779.9;-1461.2;13962.3;-688.0
130;17579.0;-4014.3;16830.9;-535.6
131;16146.1;-3202.6;15379.5;-610.7
132;15574.3;-2610.1;14791.0;-643.7
133;14740.7;-1399.0;13921.2;-692.0
134;17144.8;-3866.3;16394.5;-557.7
135;17480.1;-4001.3;16731.8;-545.6
136;15549.1;-2579.0;14765.0;-643.7
137;17103.2;-3843.6;16352.4;-557.7
138;14853.2;-1583.4;14039.3;-681.9
139;17488.9;-4003.7;16740.8;-543.6
140;16457.4;-3466.6;15697.8;-598.7
141;16135.3;-3191.8;15368.5;-610.7
142;16251.7;-3291.3;15487.6;-601.7
143;17586.9;-4021.1;16838.9;-538.6
144;17423.1;-3983.1;16674.7;-546.6
145;17118.2;-3849.6;16367.4;-556.7
146;16581.4;-3549.3;15823.9;-587.7
147;16498.8;-3493.9;15739.9;-594.7
148;17244.1;-3907.8;16494.6;-549.7
149;16709.7;-3627.9;15954.1;-578.7
150;17329.7;-3941.7;16580.6;-547.7
151;15972.5;-3037.5;15201.4;-619.7
152;13198.1;2645.7;12248.7;-782.4
153;17824.7;-4080.7;17077.1;-519.6
154;19435.6;-3879.8;18668.5;-429.6
155;16997.1;-3791.6;16245.3;-561.7
156;16254.6;-3294.3;15490.6;-601.7
157;16206.6;-3259.4;15441.6;-608.7
158;16228.2;-3279.1;15463.6;-608.7
159;16411.2;-3437.9;15650.8;-605.7
160;14882.6;-1636.1;14070.3;-680.9
161;15689.7;-2738.4;14910.1;-634.7
162;15049.7;-1904.5;14245.5;-673.7
163;16734.4;-3642.1;15979.1;-576.7
164;15989.1;-3052.3;15218.4;-617.7
165;17071.4;-3827.7;16320.4;-557.7
166;16154.0;-3206.7;15387.5;-608.7
167;17749.9;-4053.1;17002.0;-523.6
168;16681.9;-3615.5;15926.0;-581.7
169;19438.7;-3882.5;18671.5;-432.6
170;13872.0;488.1;12993.4;-735.8
171;15517.3;-2541.4;14732.0;-646.7
172;17632.9;-4021.9;16884.9;-527.6
173;19922.9;-3642.7;19143.0;-410.6
174;16051.4;-3114.8;15282.5;-615.7
175;16455.4;-3465.9;15695.8;-599.7
176;16085.6;-3145.1;15317.5;-612.7
177;18231.6;-4126.2;17482.5;-500.6
178;16002.6;-3063.9;15232.4;-614.7
179;17323.6;-3943.3;16574.6;-549.7
180;15957.7;-3025.4;15186.4;-620.7
181;14685.8;-1293.9;13863.2;-691.0
182;16819.1;-3698.4;16065.2;-574.7
183;17082.2;-3836.3;16331.4;-558.7
184;18175.3;-4119.2;17426.4;-501.6
185;16237.1;-3282.3;15472.6;-605.7
186;15553.1;-2586.1;14769.0;-646.7
187;17163.7;-3876.0;16413.5;-558.7
188;16716.6;-3631.4;15961.1;-577.7
189;16776.5;-3680.6;16022.1;-581.7
190;16291.8;-3326.3;15528.7;-600.7
191;17991.2;-4108.6;17243.2;-512.6
192;16897.1;-3736.9;16144.2;-565.7
193;19035.9;-4029.5;18277.2;-457.6
194;17919.0;-4092.5;17171.2;-513.6
195;17298.7;-3929.2;16549.6;-546.7
196;14218.5;-359.5;13366.7;-719.5
197;17216.2;-3899.7;16466.5;-554.7
198;16966.4;-3780.6;16214.3;-567.7
199;17507.7;-4011.2;16759.8;-542.6
200;17825.8;-4079.6;17078.1;-518.6
201;15847.9;-2908.3;15073.3;-623.7
202;17527.8;-4007.1;16779.8;-534.6
203;15633.1;-2680.1;14852.1;-638.7
204;19109.4;-3998.6;18349.2;-446.6
205;14607.1;-1150.8;13780.1;-694.1
206;14045.3;47.4;13180.5;-728.6
207;14188.6;-293.8;13334.7;-721.5
208;15191.6;-2109.8;14393.6;-664.7
209;14886.5;-1640.7;14074.4;-680.9
210;19111.4;-3998.3;18351.2;-446.6
211;15948.9;-3019.1;15177.4;-621.7
212;14595.8;-1132.3;13768.1;-697.1
213;17923.0;-4096.7;17175.2;-515.6
214;15596.7;-2633.2;14814.0;-641.7
215;14734.1;-1387.3;13914.2;-693.0
216;17596.8;-4025.0;16848.9;-537.6
217;17249.0;-3913.9;16499.6;-552.7
218;15804.8;-2877.3;15029.2;-634.7
219;18335.4;-4123.9;17585.6;-492.6
220;16571.5;-3544.7;15813.9;-589.7
221;18631.5;-4104.8;17878.8;-475.6
222;17082.2;-3836.3;16331.4;-558.7
223;18546.5;-4109.4;17794.7;-477.6
224;16540.1;-3521.4;15781.9;-591.7
225;14752.2;-1416.3;13933.2;-691.0
226;19812.6;-3706.4;19035.9;-415.6
227;15653.8;-2699.6;14873.1;-637.7
228;16121.5;-3183.8;15354.5;-613.7
229;15445.0;-2449.2;14656.9;-652.7
230;16115.7;-3180.4;15348.5;-615.7
231;16717.6;-3630.3;15962.1;-576.7
232;16670.1;-3606.1;15914.0;-581.7
233;17300.7;-3928.2;16551.6;-545.7
234;18876.1;-4065.9;18120.0;-464.6
235;16226.2;-3276.2;15461.6;-607.7
236;14738.1;-1391.1;13918.2;-692.0
237;14799.6;-1501.9;13983.3;-688.9
238;15492.9;-2514.0;14706.9;-648.7
239;14158.0;-220.3;13301.7;-722.5
240;17529.8;-4008.2;16781.8;-534.6
241;15716.6;-2777.0;14938.1;-637.7
242;15971.4;-3038.9;15200.4;-620.7
243;16388.9;-3395.3;15627.8;-588.7
244;14517.2;-987.5;13685.0;-704.2
245;15228.2;-2159.0;14431.7;-661.7
246;17316.6;-3937.1;16567.6;-546.6
247;17244.1;-3907.8;16494.6;-549.7
248;15787.7;-2855.6;15011.2;-635.7
249;18902.7;-4058.3;18146.1;-462.6
250;14638.3;-1211.2;13813.1;-694.1
251;15921.8;-2992.4;15149.3;-625.7
252;16076.7;-3138.4;15308.5;-613.7
253;12757.1;4471.5;11747.2;-804.8
254;19083.7;-4014.4;18324.2;-452.6
255;16892.3;-3732.9;16139.2;-565.7
256;14988.4;-1809.9;14181.4;-677.8
257;19249.1;-3962.2;18486.4;-444.6
258;17192.6;-3888.0;16442.5;-556.7
259;16978.3;-3779.8;16226.3;-560.7
260;15567.6;-2599.1;14784.0;-642.7
261;16534.2;-3517.0;15775.9;-591.7
262;14350.7;-644.6;13507.8;-711.3
263;17482.1;-3999.2;16733.8;-543.6
264;15883.7;-2953.7;15110.3;-626.7
265;16576.3;-3549.7;15818.9;-589.7
266;18049.4;-4114.6;17301.3;-508.6
267;16779.4;-3683.3;16025.1;-581.7
268;16752.0;-3663.7;15997.1;-582.7
269;16771.6;-3678.1;16017.1;-581.7
270;15401.3;-2398.4;14611.8;-655.7
271;17542.9;-4011.0;16794.8;-534.6
272;18529.2;-4120.2;17777.7;-484.6
273;17433.0;-3979.7;16684.7;-540.6
274;17611.9;-4021.6;16863.9;-532.6
275;15204.2;-2122.2;14406.7;-660.7
276;15219.6;-2139.9;14422.7;-657.7
277;14462.6;-875.6;13626.9;-705.2
278;18095.6;-4117.9;17347.3;-505.6
279;16044.7;-3105.0;15275.4;-613.7
280;18323.6;-4119.7;17573.5;-491.6
281;15334.0;-2298.6;14541.8;-651.7
282;15799.1;-2870.0;15023.2;-634.7
283;16521.5;-3510.1;15762.9;-594.7
284;17660.9;-4032.7;16912.9;-529.6
285;16473.2;-3478.2;15713.8;-598.7
286;16681.9;-3616.5;15926.0;-582.7
287;16411.2;-3437.9;15650.8;-605.7
288;16631.8;-3580.1;15875.0;-584.7
289;14888.3;-1645.3;14076.4;-680.9
290;16502.8;-3498.3;15743.9;-596.7
291;16135.3;-3191.8;15368.5;-610.7
292;16316.5;-3341.5;15553.7;-597.7
293;17068.4;-3830.9;16317.4;-560.7
294;15470.1;-2477.2;14682.9;-648.7
295;16276.2;-3313.0;15512.7;-601.7
296;15989.0;-3054.8;15218.4;-619.7
297;16962.5;-3775.0;16210.3;-565.7
298;17469.1;-3995.4;16720.8;-543.6
299;15105.3;-1985.7;14303.6;-669.7
300;17192.6;-3888.0;16442.5;-556.7
301;19266.5;-3955.5;18503.4;-443.6
302;14423.1;-798.0;13584.9;-709.3
303;15270.5;-2213.0;14475.7;-656.7
304;15202.3;-2119.4;14404.7;-660.7
305;16011.4;-3075.7;15241.4;-616.7
306;18640.7;-4103.0;17887.8;-475.6
307;16409.2;-3438.1;15648.8;-606.7
308;15449.7;-2457.8;14661.9;-653.7
309;17247.0;-3913.6;16497.6;-552.7
310;15581.1;-2619.5;14798.0;-644.7
311;17941.1;-4097.0;17193.2;-513.6
312;16805.3;-3687.1;16051.2;-573.7
313;18306.4;-4119.7;17556.5;-492.6
314;15497.9;-2517.2;14711.9;-647.7
315;20651.0;-3098.8;19844.6;-375.6
316;17527.8;-4007.1;16779.8;-534.6
317;17290.9;-3924.5;16541.6;-547.7
318;16323.2;-3351.1;15560.7;-598.7
319;15411.1;-2406.1;14621.9;-653.7
320;15219.6;-2139.9;14422.7;-657.7
321;16206.7;-3257.1;15441.6;-607.7
322;15318.4;-2281.6;14525.8;-653.7
323;16778.5;-3683.3;16024.1;-582.7
324;15277.3;-2225.0;14482.7;-658.7
325;17247.0;-3912.4;16497.6;-551.7
326;17706.9;-4042.4;16959.0;-525.6
327;15437.3;-2438.6;14648.9;-653.7
328;18035.5;-4109.9;17287.3;-508.6
329;16068.2;-3128.3;15299.5;-614.7
330;17984.1;-4106.8;17236.2;-512.6
331;16989.3;-3785.5;16237.3;-561.7
332;17939.2;-4096.0;17191.2;-513.6
333;15049.7;-1904.5;14245.5;-673.7
334;16242.9;-3286.1;15478.6;-604.7
335;18401.0;-4124.9;17650.6;-490.6
